title,text,site,date,category,class,url
‘You Up Hun?’ FF & FG Sends Late Night Text To Michael Lowry,"SHOUTING to a member of house staff to come in and remove his sleep mask from his face so he can see who just texted him at 2 in the morning, independent TD Michael Lowry smiled to himself at being added to the WhatsApp group ‘The Boys Are Back In Town’. “Melvin, start up the sauna and throw on the kettle, it’s going to be a long day of flirting,” Lowry ordered his butler, who was now folding back the bed clothes for his master to sit up. “It’s going to be like the good old days again – time really is a healer”. The received ‘you up hun?’ text slowly gathered thumbs-up emojis from other recipients, including the Healy Raes, Mattie McGrath, Verona Murphy and that guy who cursed in the Dáil once. “Thanks for the add, guys, all we need now is Bertie,” a message quickly liked by ‘The Bertmeister’ read, much to the amusement of everyone. “At least we’ve no IMF admins in the group chat this time,” a message from ‘2-pint man’ read, souring the chat’s flow. Independent TDs secured almost 17% of the votes this election holding the keys to a Fianna Fáil and Fine Gael government, if they play ball. “I kno problem joining ladz as long as we bring back drink drivin,” worded Danny Healy Rae as several eye roll emojis appeared.",Waterford Whispers News,"December 4, 2024",politics,Satire,https://waterfordwhispersnews.com/2024/12/04/you-up-hun-ff-fg-sends-late-night-text-to-michael-lowry/
“That’s Bad Form Now” Kim Jong Un Urges South Korean President To Stand Down,"“THAT’S bad form now, you wouldn’t see that kind of carry on up north,” North Korean leader Kim Jong Un began in a nationwide TV address calling out his South Korean counterpart who attempted to implement martial law yesterday in a bid to avoid impeachment. Yoon Suk Yeol’s future is hanging in the balance after a chaotic night during which he dramatically declared martial law and then withdrew it just as suddenly when politicians gained access to parliament despite in being under armed guard, plunging the country into turmoil, and himself into the world’s spotlight. “Now if that was me, hypothetically speaking of course, I would have slaughtered all those demonstrators first and there would have been none of this,” Kim Jong Un casually explained to his nation of 26 million people forced to watch his address or face death. “This is exactly what happens when you’ve got a poor leader who can’t control his people – sure they may all have fancy things like food, a working economy, health care and really nice fried chicken, but what would you prefer, all those materialistic things or a great strong leader with dashing good looks?” Jung Un added, now fluttering his eyelashes at the camera as screams of ‘we love you’ could be heard from freezing cold crowds outside watching the public address. Finishing his address, the North Korean leader went on to promise all the nation’s men a nice European holiday for all their hard work over the year. “Since it’s Christmas, I’m giving away a free holiday to Eastern Europe for every North Korean man in the country. See how nice I am to you? You wouldn’t see Suk Yeol do that.”",Waterford Whispers News,"December 4, 2024",world,Satire,https://waterfordwhispersnews.com/2024/12/04/thats-bad-form-now-kim-jong-un-urges-south-korean-president-to-stand-down/
"‘Supplying Weapons To Kill 50,000 People All Fine But Just Don’t Pardon Your Son,’ Biden Told","LONG DORMANT media columnists and political commentators have awoken from a year long hibernation to valiantly put on record their displeasure at the most heinous thing Joe Biden has done since taking office. “Are we not a country of rules and laws anymore? I fear we no longer know what are values are, civil society lives and dies on the actions of its publicly elected officials,” exclaimed one columnist, holding back tears as they typed. “Playing quarterback in the starvation, murder and ultimate genocide of Palestinians, well, that sounds suitably American to me but using the office of the President to pardon your son? Shame on you Joe, shame on you” offered another columnist. The news of the pardon puts a desperately dark cloud over American democracy, weeks before what was supposed to be a joyously democratic and civil transference of power to rapist and felon Donald Trump. “What sort of person would so brazenly commit such an act,” Donald Trump asked as he unveiled Jared Kushner’s dad as the Ambassador to France several years after pardoning him for his conviction for illegal campaign contributions, tax evasion, and witness tampering involving the hiring of a prostitute to seduce his brother-in-law, arranging to record a sexual encounter between the two, and sending the tape to his sister.  “Pardoned for tax evasion and lying on a gun form, and he’s walking free – makes me sick,” said Trump who didn’t pay income tax in 11 years across an 18 year period and also purchased a gun at a South Carolina gun shop which would have been illegal as he was under a federal indictment. Journalists possessed with a unique political insight even suggest inspired by Biden, Trump could now suddenly develop an interest in using pardoning powers for allies and January 6th insurrectionists.",Waterford Whispers News,"December 3, 2024",world,Satire,https://waterfordwhispersnews.com/2024/12/03/supplying-weapons-to-kill-50000-people-all-fine-but-just-dont-pardon-your-son-biden-told/
“First 100 Violations Of Ceasefire Are Free” US Tells Israel As IDF Continues To Strike Lebanon,"DESPITE UNIFIL forces observing at least 100 instances of Israeli forces breaching the ceasefire agreement negotiated by the US administration between the IDF and Hezbollah, it has emerged that the deal had some hidden clauses applying solely to Israel. “Well, as a valued and repeat customer for US arms, Israel actually signed up to our premium package which mean the first 100 violations of ceasefires are free,” spokesperson for the US Department of State, Matthew Miller, said. Why Hezbollah did this remains unclear. “Now, look, it’s not all rosy for the IDF when the next 100 violations occur that triggers a clause in our agreement together,” outlined Miller, revealing the hard line the Biden administration continues to take could see Israel sent more weapons as punishment. Downplaying criticism of the breaches, Miller confirmed that people were misunderstanding the nature and purpose of ceasefires, which is wrongly associated with preventing death and destruction. “It’s not to stop the killing, these things are announced so it looks like something is being done but as you know from all my briefings these past 14 months the only thing being done is whatever Benjamin Netanyahu wants to do without any fear of consequences,” outlined Miller. Meanwhile, it is hoped fresh gains by Islamist rebels in Syria against Assad forces will calm everything down in the Middle East region.",Waterford Whispers News,"December 3, 2024",world,Satire,https://waterfordwhispersnews.com/2024/12/03/first-100-violations-of-ceasefire-are-free-us-tells-israel-as-idf-continues-to-strike-lebanon/
Fianna Fáil & Fine Gael’s ‘Red Lines’ For Going Into Government With Each Other,"EXCRUCIATING flirting with all the prowess of a pig loose on a kitchen floor polished with baby oil has begun, as Micheál Martin and Simon Harris sit down to try and form a government. What are the ‘red lines’? What are the demands? What do they agree on? WWN reveals all: Simon Harris is insisting on a rotating Taoiseach arrangement, but is open to a slightly tilted Taoiseach, sick leave Taoiseach, Step-Taoiseach or a Bank Holiday Monday Taoiseach arrangement. Micheál Martin is insisting Simon Harris can rotate his head out of the clouds and up his own hole. Fine Gael have stated they want to be in charge of increasing homelessness this time, while Fianna Fáil would like to be in charge of pretending there is a functioning police force. An intransigent Fianna Fáil will not budge on their desire for the next hefty subsidy for developers being delivered with cheese and wine hampers. There is an agreement on delaying announcement on an agreement just so they can watch Sinn Féin embarrass themselves talking about forming a left-wing alliance alternative government for another week or two. An end to ludicrous spending such as the Dáil bike shed, with the Greens out of the picture both parties feel they could get a €20mn five-space car park done in next five years. The potential coalition partners have agreed they are as equally relieved as each other that on International Day of Persons with Disabilities they can avoid going into government with a smaller party demanding reforms and supports in the area. Tentative agreement on who gets to set the Sinn Féin effigy on fire; all 86 TDs at the same time. Simon Harris has already made contact with Liam Neeson to award him the contract for kidnapping Irish people and forcing them back home on planes from Australia. Elsewhere, some independent TDs have already stated what their price for going into government would be with Danny Healy Rae providing this detailed drawing of a futuristic metropolis in Kerry to be built with the Apple Tax windfall money:",Waterford Whispers News,"December 3, 2024",politics,Satire,https://waterfordwhispersnews.com/2024/12/03/fianna-fail-fine-gaels-red-lines-for-going-into-government-with-each-other/
“Calm Down Sugar Tits”: Gregg Wallace’s Guide To Crafting The Perfect Apology,"SO YOU’VE found yourself in a spot of bother and now some middle class women of a certain age who can’t take a joke/groping are giving out to HR.  You might be fearing the worst; job gone, career over, but relax one of the world’s leading apology experts, Gregg Wallace, is on hand to dispense his priceless advice that’ll get everyone back on your side: Step 1) Deescalate – there’s been a clear misunderstanding of harmless banter. “Calm down sugar tits”. Fire any and all publicists working for you, you’ve got this. This golden phrase always works, even on the most irate of sugar tits owners.  If anything you’ll soon have coworkers turning on the humourless harridan who isn’t even good looking enough to sexually harass. Step 2) Show you understand the hurt you may have caused in an apology video. “You amply chested posh women whose bosoms I’d love motor boat clearly aren’t getting any at home which is why you can’t even take a compliment”. Empathy is everything, but also maybe include a line about how the dough isn’t the only thing rising around here. Step 3) Get on the phone to Russell Brand for advice. “Can you be down to the river by my house in 5 minutes to Baptise me. Bring a Bible, I’ll need to pretend I’m a devout Christian now too”. Step 4) Keep digging. Your impulse will be to stop digging but maybe down the bottom of that hole is a breezy and hilarious anecdote you can tell a woman you just met about how you dined out on your wife’s vagina for breakfast. Once the laughter starts again, people will forget your erection and/or why they ever thought this wasn’t an appropriate topic of discussion at work. Step 5) You’re going to want to mention the word ‘woke’ a lot. I mean a loooot. Step 6) Ring I’m A Celebrity to see if they’ll book you on the first flight to the jungle. Do you know who looks like she’d love a story about how randy am I 24/7? That Maura Higgins!",Waterford Whispers News,"December 3, 2024",entertainment,Satire,https://waterfordwhispersnews.com/2024/12/03/calm-down-sugar-tits-gregg-wallaces-guide-to-crafting-the-perfect-apology/
Bonus Good News For American Men - Unhinged Batsh*t Crazy Liberal Women Going Celibate,"Sometimes good news comes in floods of joy and happiness, and this is the case for American men as the batshit crazy, deranged blue-haired pierced and heavily tattooed liberal narcissistic women who voted for Kamala Harris have vowed to go celibate and abstain from men. It’s double plus good news for the gene pool as these selfish, entitled, mentally ill, attention seeking harridans won’t thankfully reproduce.  “For men, this makes things easier by taking psycho hose beasts out of the equation, only leaving the good women. The Trump win has truly been a wondrous event, as it effectively cleanses America of the shitty things, and brings back some form of goodness and purity to the country,” a college student from Nebraska revealed. These liberal women have been so ideologically brainwashed and mentally damaged by the Kamala Harris campaign that they are going on TikTok to publicly display their total and utter shameful, demoralised mental conditions of utter indignity to everyone.  The ironic thing is, these dumbos only sleep with liberal men who voted for Kamala as well, so they’re taking them out of the gene pool too — triple fucking bonus.  No need for your much-loved right to have abortions any more — quadruple fucking bonus!!!",Daily Squib,2024-11-08,entertainment,Satire,https://www.dailysquib.co.uk/entertainment/58255-bonus-good-newsfor-american-men-unhinged-batsht-crazy-liberal-women-going-celibate.html
"Rachel Maddow Concerned Trump Will Put Her in ‘FEMA Camp’ During Second Term: ‘Yes, I’m Worried’","Clinically insane MSNBC host Rachel Maddow has expressed serious fearmongering concerns that she and millions of other clinically insane American woke socialist liberals would be interned in a “camp” when former President Donald Trump wins a second term in the White House this November. During an interview with Maddow in Monday’s Unreliable Sources newsletter, CNN Democrat propagandist Benson Burner asked the MSNBC host about her concerns about being targeted during a second Trump administration. “Trump and his allies are openly talking about doing the same thing the Democrats have unjustly done to him. Weaponising the government to seek revenge against critics in media and politics, with some of his extremist allies even talking about jailing the ‘treacherous and treasonous scum’,” noted Burner. “You’re one of his most notable critics on television. Are you worried that you could be a target?”  Rachel Maddow replied: “I’m worried, but I’m actually ready for being in a camp because I’m a bleeding heart liberal propagandist for the Democrat Party. I don’t read the news in an objective fashion or without obvious bias in any way. When Trump invokes the Insurrection Act to deploy the U.S. military against civilians on his first day in office, I will be cheering like a cheer leader because it plays into my perpetual liberal victim state of mind. Also, when Trump imprisons me in a FEMA concentration camp, I will be able to play the part of martyr, and virtue signal to my fellow liberal socialist Americans of my suffering for the cause of socialism and communism in America. “When Trump puts millions of blacks, criminals, Mexicans, gays, and migrants into the concentration camps, I will be happy because it would have proved my point that my scaremongering before the election actually did not work and millions of Americans voted for Donald J. Trump anyway. “In the camps of the future it won’t be so bad either, there will be plenty of women for me to become friends with. I hope Trump puts me in one of those all female camp buildings. I’ll be up to my eyeballs in pussy. Really, there’s nothing to fear folks, everything I say on MSNBC is absolute bullshit, and I am essentially an actor. Anyone who takes me seriously must be as mad as I am.” The ‘Trump Derangement Syndrome’ seems to be in full force before the coming U.S.elections.",Daily Squib,2024-06-12,world,Satire,https://www.dailysquib.co.uk/world/56316-rachel-maddow-concerned-trump-will-put-her-in-fema-camp-during-second-term-yes-im-worried.html
I'm a Cruise Ship Worker...These are the SIX Things Smart Passengers Always do Onboard,"A cruise ship worker has shared the six things that ‘smart’ passengers always do when they come aboard for their holiday. Janice Munklehouse, 21, from Grimisbury on Thames, Lincolnshire worked on cruise ships for 38 years, and regularly shares advice for passengers and crew on her Cruising Da Seas Innit YouTube channel. Now, she has shared how passengers can make the most of their voyage with her own expert tips. Read on below for the six top tips she had for cruise passengers. Don’t fall overboard whilst boarding the ship Kicking off with the first piece of advice to get ahead of the game while travelling on a cruise, Janice said people should always avoid falling overboard whilst boarding the cruise ship. She said that, it is best to arrive at the destination of your cruise embarkation point “as early as possible”, suggesting a late arrival may mean you rush to board the ship loaded with luggage and fall into the sea. While the cruise ship worker said that many people avoid drowning or being crushed by other boats in the harbour, she has seen many passengers falling off the boarding ramp in a rush to board the ship. “One fella comically tried to jump over 17 feet because he was late for the cruise. He was summarily chewed up in the propellers, but his cruise ticket and hairbrush were thankfully recovered by a fisherman 6 months later in the stomach of a Mako shark.” Don’t jump off the ship when it’s cruising Moving on to her next tip, Janice encouraged passengers to not jump off the ship when it was cruising in the ocean. Janice said jumping off the cruise ship whilst moving would not be very nice for the passenger. She said that: “Jumping into the ocean from your ultra-luxury cruise line would mean that you miss a lot of activities on board like karaoke, disco night and various themed buffets”. She said that, while it may be tempting to jump from the deck of your cruise ship to avoid all the old codgers and nouveau riche arseholes, bad things could happen to you in the open ocean hundreds of miles from shore. Don’t fall off the ship The cruise worker highlighted the potential dangers of falling off the ship. If passengers wear inadequate footwear or lean over the edge of the ship, they could slip and fall into the ocean, which would not be such a good cruise ship experience.  Don’t get pushed off the ship Janice’s fourth piece of advice for how to be a smart passenger when going on a cruise concerned not being pushed off the ship. She urged anyone looking to enjoy their holiday cruise to avoid being pushed over the side of the ship into the ocean by some nutter on board or an angry crew member. During her 38 years working on cruise ships, Janice says she has witnessed a number of crew members who have had to push annoying passengers overboard for being arseholes. She warned that many passengers end up in the ocean because the crew have simply had enough. There’s only so much a crew member can take, so don’t be an arse and get on everyone’s tits. Don’t fall out of your cabin window The cruiser worker’s penultimate tip of six urged holidaymakers not to open the cabin window and hang over the edge, especially when drunk out of their minds on cheap watered-down booze. Elaborating on this point, she suggested it would always be best to simply use the cabin window to look at the ocean and not to jump into the water from it. Janice remarked: “You may run the risk of getting eaten by sharks, or simply drowning”. Don’t fall off the ramp whilst disembarking Her final piece of advice for how to be a smart passenger when disembarking a cruise ship concerned not falling off the ramp into the polluted, dangerous waters at port. Janice suggested this could be potentially very dangerous for the passenger. She said: “The reason you want to decide on these things before you disembark is because if you fall overboard, things could get rather messy. I once saw an elderly passenger ingest an entire humungous turd in one gulp when she fell in the water near a sewage outflow pipe”. The veteran cruise worker also said that avoiding falling or jumping off a cruise ship should be a priority for most passengers, but naturally some were just born to do it. Once passengers disembarked, Janice admitted she and the crew were glad all the whinging fuckers had gone and hoped they would never be seen again — that is, until the next batch boarded the cruise ship for a trip they would surely regret for a lifetime.",Daily Squib,2024-05-12,entertainment,Satire,https://www.dailysquib.co.uk/entertainment/55825-im-a-cruise-ship-worker-these-are-the-six-things-smart-passengers-always-do-onboard.html
Labour Plan to Have Speakers and Listening Devices on Every Lamp Post,"The public will be lectured on “motivational” socialist principles, and Labour diktats every day of their lives, a newly published manifesto paper has revealed. Speakers and microphones will be installed in every lamp post in the UK proposed by the innovative Labour plan. Much like the Mayor of London, Sadiq Khan’s pet surveillance project, ULEZ, where every vehicle is tracked and charged in London, the proposed Labour “Listen and Speak” scheme will ensure that citizens are daily indoctrinated in soviet ideology and microphones will listen for any form of dissent against the ruling regime once it gains power in the coming election. LISTEN AND SPEAK Upon hearing of the Labour plans, one citizen voiced his distaste of such a scheme coming into fruition. “If I want to live in fucking North Korea, I’ll go and live there. Imagine walking down the street and being forced to listen to the irritating nasal droning from Comrade Starmer every fucking day of your life, listening to his awful grinding punishing nasal voice telling you how to think, what to do, where to go, I’d fucking top myself.” Along with daily lectures on the greatness of Labour socialist schemes, citizens will be indoctrinated in EU values and other communist rhetoric. If people are seen to be wearing headphones whilst walking in the streets, they will be told to take the device off from their heads, or if they are Bluetooth headphones, the Labour “Listen and Speak” system will hijack the Bluetooth headphones to force the citizen to listen to the latest soviet Labour messages being broadcast.  Along with speakers installed on every lamp post, the Labour plan is to also install powerful microphones that will monitor each citizen’s speech. The listening devices will be powered by AI and will alert the Labour Stasi authorities if any citizen speaks adversely about the Labour regime at any time or says any word that is forbidden by woke programmers who have infiltrated the English language. “If someone says any forbidden words or speaks badly about the Labour soviet system, the AI system will identify the offender, who will then be removed from their home in the early hours of the morning. These offending individuals will then be sent to an EU sanctioned re-education centre and reprogrammed to love the Labour EU State.,” a jubilant Labour spokesman revealed on Thursday. Comrade Starmer pronounced the scheme as a measure to “safeguard and ensure the safety of every British citizen” and a way to uphold “the beloved EU rules which Labour is dedicated to rejoining”.",Daily Squib,2024-05-30,world,Satire,https://www.dailysquib.co.uk/world/56106-labour-plan-to-have-speakers-and-listening-devices-on-every-lamp-post.html
Personal Computers and Smartphones Were Introduced For Benefit of AI,"You may think there were some benevolent reasons for rolling out and introducing the personal computer and smartphone to the civilian population, and yes there were some, but the majority of reasons were far from that. One has to understand that the controllers work in 50 and 100 year increments and their primary modus operandi is one that may either surprise you or deep down your sub-conscious probably already knows what is going on. What is the last bastion of control over the human population? The inside of your mind, of course, this has eluded the controllers for centuries. Even the Spanish Inquisition could not get close to that level of knowledge or control, or the Nazis, or the Soviet communist dictators or the religious organisations. As a control system, religion has wavered and is not as powerful a tool for complete control any more, and this is why the controllers needed access to your most intimate thoughts, your thought cycles, as well as your very methods of thought. This process would need machines that replicate human thought to some extent, and what better way than a personal computer touted as a way to enhance human activity. Even programming languages effectively replicate human thought processes to some extent with variables, strings and multiple processing architectural archetypes that are the basic structure of 1010101, the universal on-off switch for every permutation of every possible combination of mathematical and human existence. Who’s programming who, the human on the computer, or the computer on the human? Essentially speaking, the personal computer introduced to the public was a first major step into delving into the minds of the population, giving the controllers a basic map of the internal minds of humans. The next step was connectivity, and this is when the DARPA project of an internet was introduced to the general public. All of this trained internal data had to move around, it had to evolve and of course it had to be collected and filed by the controllers in their massive database banks. The internet allowed the controllers to see what people liked/disliked, it allowed them to delve into the darkest secrets of human activity as well as the thought processes and decisions people made in their lives. Every single facet of human behaviour was intricately analysed, logged and filed and in the present time it still is right now. The smartphone was then introduced as an additional form of ultimate human control. This technique was a goldmine of information for the benefit of AI systems because it formed a much more intimate picture of human activity and behaviour simply because of its small size. A mobile phone is easy to carry and is with humans pretty much all the time, whereas a bulky personal computer is generally not with a person at all times. The vast amount of data collected through this method is too vast to even comprehend for most people, but smartphones along with things like apps are a vast treasure trove of data helping the controllers map out the human brain and its collective methods. People cannot do without their smartphones now, they are totally addicted and attached to them. Studies have now shown that by taking smartphones away from some people who are then put into a room alone, results in them self-harming themselves, such is the level of control over their entire being and mind. Human data to benefit of AI systems AI will fully understand and replicate the human mind. It does not need to sleep, it does not need wage rises or maternity leave or holidays. There are no industrial disputes with AI, there are no sick days or loss of productivity. This is why AI was fed the entirety of human data because humans will be replaced by these systems soon enough as is the plan by the controllers. To fully control something, first you must completely understand every facet of it. Mapping out every single dendrite, synapse and connection of the human brain is another major project currently underway. What do you do with the entire data set of the human mind; the books, the literature, the behaviour analytics, the thought processes, the creativity, the emotions, the biases, the infinite variables and combinations of discourse etc.?  You feed it all into AI machine learning projects, and this is the key factor in all the control processes envisioned by the controllers. This is all set up for the benefit of AI systems. For thousands of years they have dreamed of this very moment because they have been the few and the population has been the many, they have feared greatly of losing their grip on humanity, of losing their position of control.  This is why companies like Apple recently produced an advert for their new iPad Pro with an M-chip that depicts the entire breadth and width of human culture, creativity, and art being crushed by a rubbish disposal machine. This depiction signals the final rallying call that machines have ultimately superseded the human experience and this is just the beginning of the end for the traditional biological state of humanity. In the future, when the brain chip is introduced to the entire population, it will be the final step of ultimate control. By then they will have mapped out the human brain in its entirety, and the controllers will gain direct access into every single thought and memory of each human. As is today, humans cannot function in business or anything without a smartphone, and this will be the method used for the brain chip as well. Elon Musk, a sinister deviant character, is tasked with the initial rollout of this technology, but there are others in the pipeline right now as well if he fails. Ultimately, humanity is on the cusp of a major epoch regarding the benefit of AI systems, a time of change so extreme that may bring back a state of feudalism once again but this time it will be an all encompassing form of technological feudalism and slavery incorporating complete control of the last bastion of human control — the brain. UPDATE – May 24 Looks like others are realising what the Daily Squib has been talking about for years. https://www.barrons.com/news/ai-relies-on-mass-surveillance-warns-signal-boss-20280d0a",Daily Squib,2024-05-11,tech,Satire,https://www.dailysquib.co.uk/sci_tech/55812-personal-computers-and-smartphones-were-introduced-for-benefit-of-ai.html
ANALYSIS: Was Prince Harry Making a Statement in Latest Address?,"Yes, Prince Harry was a gunner on an Apache helicopter in Afghanistan for 6 weeks, and he served his country briefly, but royal fans have been questioning his ‘ludicrous’ display of medals for his brief stint in the military in his latest video address. “Arse!” Royal fans were up in arms when they saw a blurred, wonky amateur video of the prince on his porch in Montecito wearing medals all over a cheap looking civilian suit. One Twitter X user commented: “What a moron! Prince Harry looks like he is going to fall over from the weight of all the medals he never earned” Another X user revealed: “He looks like a prize ninny! Who’s he trying to fool?” However, others defended the duke, with one user Laquisha46 commenting: “Harry is wearing his medals proudly, which our African princess Meghan probably purchased for him in a flea market in Santa Monica. Leave them alone, you bunch of bullies. Love you Meghan.” The consensus was of ridicule for the wayward prince who has admitted to heavy use of class-A drugs like cocaine, mushrooms, meth and marijuana, allegedly including when he served. Expert analysis Royal expert and body language expert Arbuthnot Bollsaque commented on the BBC that “Harry is showing defiance for being stripped of his right to wear a military uniform by displaying the plethora of medals all over his cheap looking suit”. Harry was stripped of his honorary military titles by late Queen Elizabeth II after he stepped down from royal life in 2020 and moved to California with Meghan Markle.",Daily Squib,2024-04-27,entertainment,Satire,https://www.dailysquib.co.uk/entertainment/55590-analysis-was-prince-harry-making-a-statement-in-latest-address.html
Interconnected: The Internet Only Creates War For Humanity,"When humans become too interconnected, they reject this state through war because too much connection creates a reaction of disconnection and a run to privacy. Our inherent differences are accentuated to a point that eventually sows the seeds for conflict on and off the internet. We are told day in day out that humans have to communicate with each other constantly through smartphones, the internet, social media, but no one has factored in the consequences of such levels of communication because they were blinded by the revenue made from connectivity overload. Of course, humans need some level of communication and connection with each other, but the situation we are at now is at a level of overload. When was the last time you sat at a desk and wrote a letter to someone on a piece of paper? When was the last time you had a real conversation with someone face to face, and not impersonal cold digital words with a stranger on the internet who interacts with thousands of other impersonal messages every day? This is the ultimate paradox that through more connectivity humans have grown further apart from each other and there is a very good reason humankind will head to complete global war soon. One of the reasons for rejection of the internet beast is the loss of privacy, of space, of real human contact, of community, of family and of love. The digital beast is a cold hard obtuse world of code with no warmth and human eye to eye, face to face connection. Zoom conferences do not substitute reality in any way but present a cold digital representation of human connectivity that is ultimately soulless. The prying incessant eyes of communication now delve into our lives with an extreme hunger for data on every part of our existence, and daily our loss of privacy is getting worse. Humans need privacy, but now every form you fill in for anything requires invasive data to be revealed that infringes on our rights as humans. Every part of your life is now digitized and filed/sold. All of this unhappiness naturally builds up to a crescendo, not only with individuals, but entire nations are soaked with this spam world malaise that infects every part of our existence. If you know that much data about your enemies then you know where to attack, where their weaknesses are and how to destroy your enemy with the most effectiveness. This level of interconnectedness will eventually backfire because it is now intrusive and one could even say a form of bullying to eek out every piece of information from people just wanting to live their lives in peace.",Daily Squib,2023-12-07,world,Satire,https://www.dailysquib.co.uk/world/54018-interconnected-the-internet-only-creates-war-for-humanity.html
"World Economic Forum: ""Brutal Totalitarian Communist China is Model For Western Nations""","According to the World Economic Forum, which dictates to Western nations on policy, and future direction, the brutal bullying thugs of the Chinese Communist Party and its evil policies of totalitarian savagery are a model for Western nations to follow. This is why we are seeing more censorship and totalitarian behaviour by Western Big Tech companies who are following China’s CCP policies closely. World Economic Forum founder and Chair Klaus Schwab recently sat down for an interview with a Chinese state media outlet and proclaimed that China was a “role model” for other nations. Schwab, 84, made these comments during an interview with CGTN’s Tian Wei on the sidelines of last week’s APEC CEO Summit. Schwab said he respected China’s “tremendous” achievements at modernizing its economy over the last 40 years. “I think it’s a role model for many countries,” Schwab said. “I think we should be very careful in imposing systems. But the Chinese model is certainly a very attractive model for quite a number of countries,” Schwab said. It’s not only the WEF who adore the CCP, but so does the UN, who wants all Western nations to model China. The EU also sees China as a model of its Soviet bloc of nations. They envisage a modern communist state where brutal torture of citizens, and heavy-handed communist commissars mete out daily punishments on the people. Totalitarian bullying regimes like China are idolised by the globalists, who have become very rich off the backs of Chinese slave workers. THE UNITED NATIONS OF CHINA: A VISION OF THE WORLD ORDER by European Council of Foreign Relations You will realise what these people have in store for you when the Citizen Social Credit system that China uses on its citizens already is introduced over in Western nations. This is what the EU, WEF and UN want introduced into the West to complete a totalitarian net of control over the population even more than is already present. You may think surveillance is already pretty bad in Western nations, but wait until the Chinese surveillance model is adopted. Big Tech companies are already preparing the framework to introduce a Chinese social credit model as well as increased Chinese CCP style surveillance. Since 2013, Big Tech has been tightening its deadly noose on all civilians, and it is only going to get worse. Looks like it’s forced CCP anal swabs and brutal poverty for everyone, that is, except for the globalist hierarchy in their mansions.  A celebrated member of the globalist World Economic Forum (WEF) has called for a staggering 86 percent reduction in the population of humans, arguing that the goal can be achieved “peacefully.” Dennis Meadows, one of the main authors of the Club of Rome’s 1972 pro-depopulation book “The Limits to Growth.” Meadows argues that most of the world’s population must be wiped out so that the survivors can “have freedom” and a “high standard of living.” During a 2017 interview, Meadows claims that genocide of 86% of the world’s population is “inevitable.” However, he insists that a “benevolent” dictatorship could accomplish the mass de-population “peacefully.” “We could [ ] have eight or nine billion, probably,” he says of the world’s growing population. “If we have a very strong dictatorship which is smart … and [people have] a low standard of living,” Meadows says as he explains how the population reduction agenda could be triggered.",Daily Squib,2022-11-28,world,Satire,https://www.dailysquib.co.uk/world/48511-world-economic-forum-brutal-totalitarian-communist-china-is-model-for-western-nations.html
Matt Hancock Found With Huge Amounts of Midazolam in Jungle,"Matt Hancock could find himself embroiled in a row with his I’m A Celebrity campmates after being found with a large cache of the sedative Midazolam during his isolation period ahead of entering the jungle. The Daily Squib can reveal the former Health Secretary, 44, was primed and ready ‘to carry out another covid’ on the campmates. ITV bosses were left reeling at the erroneous discovery. Mr Hancock, who lost the Tory whip last week when it was announced he was joining the cast of the show, also has access to his laptop. Do Not Resuscitate “It seems Hancock’s plan was simple. Sedate the other contestants. Claim they had a virus, then up the dose, snuffing the fuckers out. Boom! Take the prize money,” an ITV worker revealed. Earlier on today, Matt Hancock was filmed eating an entire bowl of crunchy crocodile anuses with a big silly grin on his face.",Daily Squib,2022-11-07,entertainment,Satire,https://www.dailysquib.co.uk/entertainment/48277-matt-hancock-found-with-huge-amounts-of-midazolam-in-jungle.html
